Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,rec,rec_yds,rec_yds_per_rec,rec_td,rec_yds_per_g,rush_att,rush_yds,rush_yds_per_att,rush_td,rush_yds_per_g,scrim_att,yds_from_scrimmage,scrim_yds_per_att,scrim_td,awards,Year
Laquvionte Gonzalez,laquvionte-gonzalez-1,/cfb/players/laquvionte-gonzalez-1.html,Kansas,Big 12,12,62,729,11.8,3,60.8,3,-9,-3.0,0,-0.8,65,720,11.1,3,,2016
Tavares Martin Jr.,tavares-martin-jr-1,/cfb/players/tavares-martin-jr-1.html,Washington State,Pac-12,13,64,728,11.4,7,56.0,0,0,,0,0.0,64,728,11.4,7,,2016
Deon Cain,deon-cain-1,/cfb/players/deon-cain-1.html,Clemson,ACC,15,38,724,19.1,9,48.3,0,0,,0,0.0,38,724,19.1,9,,2016
Antonio Callaway,antonio-callaway-1,/cfb/players/antonio-callaway-1.html,Florida,SEC,12,54,721,13.4,3,60.1,5,32,6.4,1,2.7,59,753,12.8,4,,2016
Gerald Everett,gerald-everett-1,/cfb/players/gerald-everett-1.html,South Alabama,Sun Belt,13,49,717,14.6,4,55.2,0,0,,0,0.0,49,717,14.6,4,,2016
Damore'ea Stringfellow,damoreea-stringfellow-1,/cfb/players/damoreea-stringfellow-1.html,Ole Miss,SEC,12,46,716,15.6,6,59.7,0,0,,0,0.0,46,716,15.6,6,,2016
Shaedon Meadors,shaedon-meadors-1,/cfb/players/shaedon-meadors-1.html,Appalachian State,Sun Belt,13,45,716,15.9,2,55.1,0,0,,0,0.0,45,716,15.9,2,,2016
Jamire Jordan,jamire-jordan-1,/cfb/players/jamire-jordan-1.html,Fresno State,MWC,12,45,713,15.8,2,59.4,17,83,4.9,1,6.9,62,796,12.8,3,,2016
Tim White,tim-white-1,/cfb/players/tim-white-1.html,Arizona State,Pac-12,12,56,713,12.7,2,59.4,5,-4,-0.8,0,-0.3,61,709,11.6,2,,2016
Malik Turner,malik-turner-1,/cfb/players/malik-turner-1.html,Illinois,Big Ten,11,48,712,14.8,6,64.7,2,5,2.5,0,0.5,50,717,14.3,6,,2016
Tim Patrick,tim-patrick-2,/cfb/players/tim-patrick-2.html,Utah,Pac-12,12,45,711,15.8,5,59.3,0,0,,0,0.0,45,711,15.8,5,,2016
Darren Andrews,darren-andrews-1,/cfb/players/darren-andrews-1.html,UCLA,Pac-12,12,55,709,12.9,4,59.1,2,27,13.5,1,2.3,57,736,12.9,5,,2016
Donald Gray,donald-gray-1,/cfb/players/donald-gray-1.html,Mississippi State,SEC,13,41,709,17.3,5,54.5,0,0,,0,0.0,41,709,17.3,5,,2016
James Proche,james-proche-1,/cfb/players/james-proche-1.html,SMU,American,12,57,709,12.4,6,59.1,4,15,3.8,0,1.3,61,724,11.9,6,,2016
Taj Williams,taj-williams-1,/cfb/players/taj-williams-1.html,Texas Christian,Big 12,13,39,702,18.0,5,54.0,0,0,,0,0.0,39,702,18.0,5,,2016
River Cracraft,river-cracraft-1,/cfb/players/river-cracraft-1.html,Washington State,Pac-12,10,53,701,13.2,5,70.1,0,0,,0,0.0,53,701,13.2,5,,2016
Ty Lee,ty-lee-1,/cfb/players/ty-lee-1.html,Middle Tennessee State,CUSA,13,63,699,11.1,9,53.8,6,107,17.8,1,8.2,69,806,11.7,10,,2016
David Njoku,david-njoku-1,/cfb/players/david-njoku-1.html,Miami (FL),ACC,13,43,698,16.2,8,53.7,0,0,,0,0.0,43,698,16.2,8,,2016
Darreus Rogers,darreus-rogers-1,/cfb/players/darreus-rogers-1.html,USC,Pac-12,13,56,696,12.4,4,53.5,0,0,,0,0.0,56,696,12.4,4,,2016
Deon Watson,deon-watson-1,/cfb/players/deon-watson-1.html,Idaho,Sun Belt,13,41,695,17.0,3,53.5,0,0,,0,0.0,41,695,17.0,3,,2016
Steven Dunbar,steven-dunbar-1,/cfb/players/steven-dunbar-1.html,Houston,American,13,53,692,13.1,5,53.2,0,0,,0,0.0,53,692,13.1,5,,2016
Bucky Hodges,bucky-hodges-1,/cfb/players/bucky-hodges-1.html,Virginia Tech,ACC,14,48,691,14.4,7,49.4,9,42,4.7,0,3.0,57,733,12.9,7,,2016
Wyatt Demps,wyatt-demps-1,/cfb/players/wyatt-demps-1.html,Nevada,MWC,12,53,686,12.9,9,57.2,0,0,,0,0.0,53,686,12.9,9,,2016
Justin Hobbs,justin-hobbs-1,/cfb/players/justin-hobbs-1.html,Tulsa,American,13,50,685,13.7,4,52.7,0,0,,0,0.0,50,685,13.7,4,,2016
Josh Stewart,josh-stewart-2,/cfb/players/josh-stewart-2.html,UTSA,CUSA,13,36,682,18.9,5,52.5,0,0,,0,0.0,36,682,18.9,5,,2016
Mike Gesicki,mike-gesicki-1,/cfb/players/mike-gesicki-1.html,Penn State,Big Ten,14,48,679,14.1,5,48.5,0,0,,0,0.0,48,679,14.1,5,,2016
Stephen Louis,stephen-louis-1,/cfb/players/stephen-louis-1.html,North Carolina State,ACC,13,35,678,19.4,2,52.2,1,3,3.0,0,0.2,36,681,18.9,2,,2016
Phil Mayhue,phil-mayhue-1,/cfb/players/phil-mayhue-1.html,Memphis,American,13,42,677,16.1,4,52.1,0,0,,0,0.0,42,677,16.1,4,,2016
Dylan Cantrell,dylan-cantrell-1,/cfb/players/dylan-cantrell-1.html,Texas Tech,Big 12,10,58,675,11.6,8,67.5,0,0,,0,0.0,58,675,11.6,8,,2016
