Player_ID,Player,pos_norm,latest_school,schools_played,seasons_count,games_total,sos_season_weighted,award_count,awards,heisman_finish,games_rushing,games_receiving,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,yds_from_scrimmage,scrim_td,award_aa,award_aac_offensive_player_of_the_year,award_acc_offensive_player_of_the_year,award_acc_player_of_the_year,award_ap_player_of_the_year_award_most_outstanding_player,award_big_12_offensive_player_of_the_year,award_big_ten_offensive_player_of_the_year,award_cusa_most_valuable_player,award_cusa_offensive_player_of_the_year,award_camp,award_doak_walker_award_most_outstanding_running_back,award_heisman_memorial_trophy_most_outstanding_player,award_johnny_the_jet_rodgers_award_most_outstanding_return_specialist,award_mac_offensive_player_of_the_year,award_mwc_offensive_player_of_the_year,award_maxwell,award_maxwell_award_player_of_the_year,award_pac_12_offensive_player_of_the_year,award_sec_offensive_player_of_the_year,award_sun_belt_offensive_player_of_the_year,award_vern_smith_leadership_award,award_vince_lombardi_award_lineman_of_the_year,award_walter_camp_player_of_the_year_award_most_outstanding_player
jacquez-stuart-1,Jacquez Stuart,RB,Toledo,Toledo,5,55.0,-2.1065454545454543,0.0,,0,55.0,51.0,361.0,1887.0,13.0,46.0,421.0,1.0,2308.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jevyon-ducker-1,Jevyon Ducker,RB,Temple,Memphis|Northern Illinois|Sam Houston|Temple,6,55.0,-2.768727272727273,0.0,,0,55.0,55.0,651.0,3323.0,24.0,54.0,349.0,2.0,3672.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lawrance-toafili-1,Lawrance Toafili,RB,Florida State,Florida State,5,55.0,2.985818181818182,0.0,,0,55.0,55.0,340.0,1895.0,15.0,92.0,905.0,4.0,2800.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nate-noel-1,Nate Noel,RB,Missouri,Appalachian State|Missouri,5,55.0,-2.2574545454545456,0.0,,0,55.0,55.0,704.0,3892.0,21.0,65.0,316.0,0.0,4208.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oscar-adaway-iii-1,Oscar Adaway III,RB,South Carolina,North Texas|South Carolina,7,55.0,-0.7416363636363638,0.0,,0,55.0,52.0,462.0,2370.0,18.0,44.0,343.0,1.0,2713.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ryan-montgomery-1,Ryan Montgomery,RB,Cincinnati,Cincinnati,6,55.0,0.5218181818181818,0.0,,0,55.0,41.0,198.0,1058.0,11.0,25.0,214.0,3.0,1272.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shaun-shivers-1,Shaun Shivers,RB,Indiana,Auburn|Indiana,5,55.0,6.532,0.0,,0,55.0,55.0,344.0,1612.0,14.0,60.0,339.0,2.0,1951.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amare-jones-1,Amare Jones,RB,Georgia Southern,Georgia Southern|Tulane,5,54.0,-1.9259259259259258,0.0,,0,54.0,54.0,217.0,1170.0,10.0,114.0,1354.0,8.0,2524.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asa-martin-1,Asa Martin,RB,Troy,Auburn|Memphis|Troy,5,54.0,-1.025925925925926,0.0,,0,54.0,54.0,212.0,947.0,10.0,73.0,685.0,4.0,1632.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cameron-davis-3,Cameron Davis,RB,Minnesota,Minnesota|Washington,7,54.0,1.6605555555555556,0.0,,0,54.0,52.0,288.0,1204.0,17.0,70.0,553.0,0.0,1757.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
