Player_ID,Player,School,Year,pos,pos_norm,games_total,award_count,sos,games_kicking,games_punting,xpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,punt,punt_yds,punt_yds_per_punt,awards,heisman_finish,award_aa,award_lou_groza_award_most_outstanding_place_kicker,award_ray_guy_award_most_outstanding_punter
sam-geraci-1,Sam Geraci,Cincinnati,2015,P,SPEC,13.0,0.0,-0.65,,13.0,,,,,,,,44.0,2036.0,46.3,,0,0,0,0
alex-spence-1,Alex Spence,Clemson,2015,K,SPEC,2.0,0.0,5.21,2.0,,1.0,1.0,100.0,0.0,0.0,,1.0,,,,,0,0,0,0
ammon-lakip-1,Ammon Lakip,Clemson,2015,K,SPEC,10.0,0.0,5.21,10.0,,7.0,7.0,100.0,1.0,1.0,100.0,10.0,,,,,0,0,0,0
andy-teasdall-1,Andy Teasdall,Clemson,2015,P,SPEC,15.0,0.0,5.21,,15.0,,,,,,,,67.0,2647.0,39.5,,0,0,0,0
austin-spence-1,Austin Spence,Clemson,2015,LS,SPEC,0.0,0.0,5.21,,,,,,,,,,,,,,0,0,0,0
bradley-tatko-1,Bradley Tatko,Clemson,2015,LS,SPEC,0.0,0.0,5.21,,,,,,,,,,,,,,0,0,0,0
christian-groomes-1,Christian Groomes,Clemson,2015,K,SPEC,0.0,0.0,5.21,,,,,,,,,,,,,,0,0,0,0
david-estes-2,David Estes,Clemson,2015,LS,SPEC,0.0,0.0,5.21,,,,,,,,,,,,,,0,0,0,0
greg-huegel-1,Greg Huegel,Clemson,2015,K,SPEC,15.0,0.0,5.21,15.0,15.0,57.0,62.0,91.9,27.0,32.0,84.4,138.0,1.0,29.0,29.0,,0,0,0,0
jim-brown-7,Jim Brown,Clemson,2015,LS,SPEC,0.0,0.0,5.21,,,,,,,,,,,,,,0,0,0,0
michael-batson-1,Michael Batson,Clemson,2015,P,SPEC,0.0,0.0,5.21,,,,,,,,,,,,,,0,0,0,0
alex-kinney-1,Alex Kinney,Colorado,2015,P,SPEC,13.0,0.0,1.33,,13.0,,,,,,,,66.0,2648.0,40.1,,0,0,0,0
cameron-silzer-1,Cameron Silzer,Colorado,2015,P,SPEC,2.0,0.0,1.33,,,,,,,,,,,,,,0,0,0,0
chris-graham-1,Chris Graham,Colorado,2015,K,SPEC,13.0,0.0,1.33,13.0,,1.0,1.0,100.0,0.0,0.0,,1.0,,,,,0,0,0,0
diego-gonzalez-2,Diego Gonzalez,Colorado,2015,K,SPEC,13.0,0.0,1.33,13.0,,35.0,35.0,100.0,18.0,29.0,62.1,89.0,,,,,0,0,0,0
wyatt-tucker-smith-1,Wyatt Tucker Smith,Colorado,2015,LS,SPEC,13.0,0.0,1.33,,,,,,,,,,,,,,0,0,0,0
braxton-davis-1,Braxton Davis,Colorado State,2015,K,SPEC,13.0,0.0,-5.78,13.0,,0.0,0.0,,0.0,1.0,0.0,0.0,,,,,0,0,0,0
hayden-hunt-1,Hayden Hunt,Colorado State,2015,P,SPEC,12.0,0.0,-5.78,,12.0,,,,,,,,52.0,2393.0,46.0,,0,0,0,0
kyle-jacobs-1,Kyle Jacobs,Colorado State,2015,K,SPEC,0.0,0.0,-5.78,,,,,,,,,,,,,,0,0,0,0
nathan-lucas-1,Nathan Lucas,Colorado State,2015,LS,SPEC,0.0,0.0,-5.78,,,,,,,,,,,,,,0,0,0,0
sam-fluegge-1,Sam Fluegge,Colorado State,2015,K,SPEC,0.0,0.0,-5.78,,,,,,,,,,,,,,0,0,0,0
trent-sieg-2,Trent Sieg,Colorado State,2015,LS,SPEC,13.0,0.0,-5.78,,,,,,,,,,,,,,0,0,0,0
wyatt-bryan-1,Wyatt Bryan,Colorado State,2015,K,SPEC,13.0,0.0,-5.78,13.0,,43.0,46.0,93.5,16.0,22.0,72.7,91.0,,,,,0,0,0,0
andrew-paluch-1,Andrew Paluch,Connecticut,2015,K,SPEC,0.0,0.0,-1.37,,,,,,,,,,,,,,0,0,0,0
bobby-puyol-1,Bobby Puyol,Connecticut,2015,K,SPEC,13.0,0.0,-1.37,13.0,,21.0,24.0,87.5,16.0,18.0,88.9,69.0,,,,,0,0,0,0
dominick-manco-1,Dominick Manco,Connecticut,2015,LS,SPEC,1.0,0.0,-1.37,,,,,,,,,,,,,,0,0,0,0
james-bedell-1,James Bedell,Connecticut,2015,LS,SPEC,0.0,0.0,-1.37,,,,,,,,,,,,,,0,0,0,0
justin-wain-1,Justin Wain,Connecticut,2015,P,SPEC,13.0,0.0,-1.37,,13.0,,,,,,,,75.0,2866.0,38.2,,0,0,0,0
