Player_ID,Player,pos_norm,latest_school,schools_played,seasons_count,games_total,sos_season_weighted,award_count,awards,heisman_finish,games_pff,award_aa,award_dave_rimington_trophy_most_outstanding_center,award_john_outland_trophy_most_outstanding_interior_lineman,award_vince_lombardi_award_lineman_of_the_year
pete-nygra-1,Pete Nygra,OL,Louisville,Louisville|Northern Illinois,5,49.0,-2.142857142857143,0.0,,0,49.0,0,0,0,0
phil-haynes-1,Phil Haynes,OL,Wake Forest,Wake Forest,4,49.0,3.34,0.0,,0,47.0,0,0,0,0
tiger-shanks-1,Tiger Shanks,OL,Nevada-Las Vegas,Nevada-Las Vegas,5,49.0,-2.63265306122449,0.0,,0,47.0,0,0,0,0
trent-holler-1,Trent Holler,OL,Memphis,East Carolina|Marshall|Memphis,6,49.0,-3.066326530612245,0.0,,0,49.0,0,0,0,0
tyler-steen-1,Tyler Steen,OL,Alabama,Alabama|Vanderbilt,5,49.0,2.634897959183674,0.0,,0,45.0,0,0,0,0
cooper-beebe-1,Cooper Beebe,OL,Kansas State,Kansas State,5,48.0,4.927291666666666,1.0,AA,0,37.0,1,0,0,0
adam-klein-1,Adam Klein,OL,Temple,Temple,5,48.0,-1.7787500000000003,0.0,,0,48.0,0,0,0,0
beaux-limmer-1,Beaux Limmer,OL,Arkansas,Arkansas,5,48.0,5.156666666666666,0.0,,0,48.0,0,0,0,0
bert-hale-1,Bert Hale,OL,Louisiana Tech,Louisiana Tech,5,48.0,-5.2775,0.0,,0,38.0,0,0,0,0
blake-brandel-1,Blake Brandel,OL,Oregon State,Oregon State,5,48.0,3.78,0.0,,0,48.0,0,0,0,0
bobby-reynolds-3,Bobby Reynolds,OL,Louisiana-Monroe,Louisiana-Monroe,5,48.0,-3.3164583333333333,0.0,,0,47.0,0,0,0,0
brady-latham-1,Brady Latham,OL,Arkansas,Arkansas,5,48.0,5.495,0.0,,0,48.0,0,0,0,0
