Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,punt,punt_yds,punt_yds_per_punt,awards,Year
Jack Spicer,jack-spicer-1,/cfb/players/jack-spicer-1.html,Miami (FL),ACC,12,34,1282,37.7,,2018
Alex Rinella,alex-rinella-1,/cfb/players/alex-rinella-1.html,Western Kentucky,CUSA,12,67,2512,37.5,,2018
Connor Allen,connor-allen-1,/cfb/players/connor-allen-1.html,Wisconsin,Big Ten,12,22,824,37.5,,2018
Jake Glatting,jake-glatting-1,/cfb/players/jake-glatting-1.html,Arizona,Pac-12,12,2,75,37.5,,2018
Jake Stone,jake-stone-2,/cfb/players/jake-stone-2.html,South Florida,American,12,3,112,37.3,,2018
Luke Loecher,luke-loecher-1,/cfb/players/luke-loecher-1.html,Oregon State,Pac-12,3,3,112,37.3,,2018
Nick Mihalic,nick-mihalic-1,/cfb/players/nick-mihalic-1.html,Western Michigan,MAC,13,56,2087,37.3,,2018
Aidan Alves,aidan-alves-1,/cfb/players/aidan-alves-1.html,Liberty,Ind,12,66,2444,37.0,,2018
Andrew David,andrew-david-1,/cfb/players/andrew-david-1.html,Texas Christian,Big 12,10,29,1074,37.0,,2018
Grant Tinnerman,grant-tinnerman-1,/cfb/players/grant-tinnerman-1.html,Bowling Green,MAC,7,35,1294,37.0,,2018
Tommy Devito,tommy-devito-1,/cfb/players/tommy-devito-1.html,Syracuse,ACC,8,1,37,37.0,,2018
Jackson VanSickle,jackson-vansickle-1,/cfb/players/jackson-vansickle-1.html,Charlotte,CUSA,4,4,147,36.8,,2018
Ben Scruton,ben-scruton-1,/cfb/players/ben-scruton-1.html,Hawaii,MWC,12,10,365,36.5,,2018
Bernardo Rodriguez,bernardo-rodriguez-1,/cfb/players/bernardo-rodriguez-1.html,Kansas State,Big 12,4,8,292,36.5,,2018
Andrew Strauch,andrew-strauch-1,/cfb/players/andrew-strauch-1.html,UCLA,Pac-12,1,3,109,36.3,,2018
Kody Schexnayder,kody-schexnayder-1,/cfb/players/kody-schexnayder-1.html,Mississippi State,SEC,13,9,325,36.1,,2018
Evan Legassey,evan-legassey-1,/cfb/players/evan-legassey-1.html,Troy,Sun Belt,3,1,36,36.0,,2018
Jake Verity,jake-verity-1,/cfb/players/jake-verity-1.html,East Carolina,American,12,12,432,36.0,,2018
Kilton Anderson,kilton-anderson-1,/cfb/players/kilton-anderson-1.html,Coastal Carolina,Sun Belt,9,1,36,36.0,,2018
Brady Farlow,brady-farlow-1,/cfb/players/brady-farlow-1.html,Louisiana Tech,CUSA,2,5,179,35.8,,2018
Tyler Flathau,tyler-flathau-1,/cfb/players/tyler-flathau-1.html,Southern Mississippi,CUSA,3,9,322,35.8,,2018
Luke Shiflett,luke-shiflett-1,/cfb/players/luke-shiflett-1.html,Middle Tennessee State,CUSA,13,4,142,35.5,,2018
Tom Snee,tom-snee-1,/cfb/players/tom-snee-1.html,Oregon,Pac-12,10,22,775,35.2,,2018
Joel Velazquez,joel-velazquez-1,/cfb/players/joel-velazquez-1.html,Boise State,MWC,11,2,70,35.0,,2018
Josh Growden,josh-growden-1,/cfb/players/josh-growden-1.html,LSU,SEC,8,16,559,34.9,,2018
Chris Tilbey,chris-tilbey-1,/cfb/players/chris-tilbey-1.html,USC,Pac-12,2,7,242,34.6,,2018
Jake Browning,jake-browning-1,/cfb/players/jake-browning-1.html,Washington,Pac-12,14,2,69,34.5,,2018
Mark Deaves,mark-deaves-1,/cfb/players/mark-deaves-1.html,Louisiana-Monroe,Sun Belt,4,4,138,34.5,,2018
Skyler Delong,skyler-delong-1,/cfb/players/skyler-delong-1.html,Alabama,SEC,6,16,551,34.4,,2018
Grant Urenovitch,grant-urenovitch-1,/cfb/players/grant-urenovitch-1.html,Kent State,MAC,4,10,341,34.1,,2018
Paxton Brooks,paxton-brooks-1,/cfb/players/paxton-brooks-1.html,Tennessee,SEC,12,1,34,34.0,,2018
Xavier Subotsch,xavier-subotsch-1,/cfb/players/xavier-subotsch-1.html,Appalachian State,Sun Belt,13,5,169,33.8,,2018
Jake Luton,jake-luton-1,/cfb/players/jake-luton-1.html,Oregon State,Pac-12,8,1,33,33.0,,2018
Zach Lee,zach-lee-1,/cfb/players/zach-lee-1.html,Utah State,MWC,8,9,294,32.7,,2018
Donovan Gagen,donovan-gagen-1,/cfb/players/donovan-gagen-1.html,Kansas,Big 12,5,2,65,32.5,,2018
Bryce Baringer,bryce-baringer-1,/cfb/players/bryce-baringer-1.html,Michigan State,Big Ten,4,15,486,32.4,,2018
Chase McLaughlin,chase-mclaughlin-1,/cfb/players/chase-mclaughlin-1.html,Illinois,Big Ten,12,1,32,32.0,,2018
Rocky Lombardi,rocky-lombardi-1,/cfb/players/rocky-lombardi-1.html,Michigan State,Big Ten,8,1,32,32.0,,2018
Alex Thomson,alex-thomson-1,/cfb/players/alex-thomson-1.html,Marshall,CUSA,4,1,31,31.0,,2018
Nathan Stanley,nathan-stanley-2,/cfb/players/nathan-stanley-2.html,Iowa,Big Ten,13,2,61,30.5,,2018
Zach Potter,zach-potter-2,/cfb/players/zach-potter-2.html,Army,Ind,8,10,305,30.5,,2018
Blake Johnson,blake-johnson-1,/cfb/players/blake-johnson-1.html,Arkansas,SEC,2,7,213,30.4,,2018
Aidan Marshall,aidan-marshall-1,/cfb/players/aidan-marshall-1.html,Auburn,SEC,1,1,30,30.0,,2018
Conor Blount,conor-blount-1,/cfb/players/conor-blount-1.html,Oregon State,Pac-12,9,2,60,30.0,,2018
Aaron Peart,aaron-peart-1,/cfb/players/aaron-peart-1.html,Liberty,Ind,10,4,119,29.8,,2018
Isaiah Green,isaiah-green-2,/cfb/players/isaiah-green-2.html,Marshall,CUSA,10,5,140,28.0,,2018
Woody Barrett,woody-barrett-2,/cfb/players/woody-barrett-2.html,Kent State,MAC,12,4,110,27.5,,2018
Jarret Doege,jarret-doege-1,/cfb/players/jarret-doege-1.html,Bowling Green,MAC,12,3,82,27.3,,2018
Daniel Jones,daniel-jones-4,/cfb/players/daniel-jones-4.html,Duke,ACC,11,2,54,27.0,,2018
Jacob Swartz,jacob-swartz-1,/cfb/players/jacob-swartz-1.html,Miami (OH),MAC,1,1,27,27.0,,2018
Dustin Crum,dustin-crum-1,/cfb/players/dustin-crum-1.html,Kent State,MAC,9,1,0,0.0,,2018
League Average,,,,,,,,41.7,,2018
