id,team,name,firstName,lastName,weight,height,jersey,position,hometown,teamColor,teamColorSecondary,season
4038954,Oregon,A.J. Hotchkins,A.J.,Hotchkins,230.0,73.0,45.0,LB,Portland,#007030,#fee11a,2015
-1043110,Western Kentucky,AJ Jackson,AJ,Jackson,175.0,71.0,36.0,DB,Louisville,#F32026,#b3b5b8,2015
-1030747,SMU,A.J. Justice,A.J.,Justice,214.0,73.0,20.0,DB,Houston,#354ca1,#cc0035,2015
3128612,Texas State,A.J. Krawczyk,A.J.,Krawczyk,195.0,71.0,47.0,S,Kingwood,#4e1719,#b4975a,2015
3922004,Charlotte,AJ McDonald,AJ,McDonald,193.0,71.0,41.0,DB,Bamberg,#046A38,#B9975B,2015
3124369,Boise State,A.J. Richardson,A.J.,Richardson,213.0,72.0,7.0,WR,Lomita,#0033a0,#fa4616,2015
-1000173,Air Force,A.J. Ruechel,A.J.,Ruechel,265.0,73.0,58.0,OL,Atlanta,#004a7b,#ffffff,2015
535646,Army,A.J. Schurr,A.J.,Schurr,,72.0,11.0,QB,Libertyville,#ce9c00,#231f20,2015
535604,Penn State,Akeel Lynch,Akeel,Lynch,,71.0,22.0,RB,Toronto,#041E42,#FFFFFF,2015
3915463,Ball State,Akeem Hutchinson,Akeem,Hutchinson,260.0,74.0,91.0,DE,Lauderdale Lakes,#DA0000,#ffffff,2015
518907,Memphis,Alan Cross,Alan,Cross,,73.0,40.0,TE,Millington,#004991,#8e908f,2015
3127372,Rutgers,Alan Lucy,Alan,Lucy,218.0,72.0,85.0,LS,Dinwiddie,#d21034,#ffffff,2015
-1001228,App State,Alanmicheal Harkness,Alanmicheal,Harkness,260.0,75.0,44.0,DL,Lithonia,#ffcc00,#222222,2015
548528,Virginia Tech,Alden Carpenter,Alden,Carpenter,,72.0,38.0,?,Leesburg,#630031,#cf4520,2015
546287,Boise State,Alec Dhaenens,Alec,Dhaenens,246.0,75.0,87.0,TE,Fruitland,#0033a0,#fa4616,2015
3676929,TCU,Alec Dunham,Alec,Dunham,220.0,73.0,23.0,LB,Coldspring,#4d1979,#f1f2f3,2015
-1020010,Miami (OH),Alec Greene,Alec,Greene,271.0,75.0,89.0,TE,Columbus,#a4000c,#f0f0f0,2015
3917668,Wisconsin,Alec Ingold,Alec,Ingold,246.0,74.0,45.0,FB,Green Bay,#c4012f,#ffffff,2015
546853,Wisconsin,Alec James,Alec,James,272.0,75.0,57.0,DE,Brookfield,#c4012f,#ffffff,2015
-1022745,Navy,Alec Keener,Alec,Keener,269.0,76.0,74.0,OT,Wallingford,#00225b,#b5a67c,2015
-1036933,Tulane,Alec Macias,Alec,Macias,187.0,70.0,44.0,WR,Miami,#006547,#468ac9,2015
