year,school_id,school,conference,rank,overall_w,overall_l,overall_pct,conf_w,conf_l,conf_pct,offense_ppg,defense_ppg,srs,sos,ap_pre,ap_high,ap_post,notes
2016,arizona,Arizona,Pac-12 (South),103,3,9,.250,1,8,.111,24.8,38.3,-4.63,5.20,,,,
2016,florida,Florida,SEC (East),104,9,4,.692,6,2,.750,23.9,16.8,10.98,4.75,25,10,14,
2016,tennessee,Tennessee,SEC (East),105,9,4,.692,4,4,.500,36.4,28.8,10.59,4.44,9,9,22,
2016,georgia,Georgia,SEC (East),106,8,5,.615,4,4,.500,24.5,24.0,3.64,2.57,18,9,,
2016,kentucky,Kentucky,SEC (East),107,7,6,.538,4,4,.500,30.0,31.3,2.30,2.76,,,,
2016,south-carolina,South Carolina,SEC (East),108,6,7,.462,3,5,.375,20.8,26.5,-0.91,2.01,,,,
2016,vanderbilt,Vanderbilt,SEC (East),109,6,7,.462,3,5,.375,23.0,24.0,3.21,3.06,,,,
2016,missouri,Missouri,SEC (East),110,4,8,.333,2,6,.250,31.4,31.5,-2.50,2.58,,,,record adjusted to 0-8-0 by NCAA
2016,louisiana-state,LSU,SEC (West),112,8,4,.667,5,3,.625,28.3,15.8,15.93,5.85,5,5,13,
2016,auburn,Auburn,SEC (West),113,8,5,.615,5,3,.625,31.2,17.1,11.97,5.51,,8,24,
2016,texas-am,Texas A&M,SEC (West),114,8,5,.615,4,4,.500,34.8,24.5,8.77,3.77,,6,,
2016,arkansas,Arkansas,SEC (West),115,7,6,.538,3,5,.375,30.3,31.1,4.35,4.35,,16,,
2016,mississippi-state,Mississippi State,SEC (West),116,6,7,.462,3,5,.375,30.4,31.8,1.68,2.76,,,,
2016,mississippi,Ole Miss,SEC (West),117,5,7,.417,2,6,.250,32.6,34.0,4.74,5.83,11,11,,record adjusted to 0-7-0 by NCAA
